date,open,high,low,close,Volume BTC,MA7,MA30,lag1_close,day_of_week
2017-01-30,913.12,923.0,910.0,919.99,3121.18754443,908.907142857143,909.077,912.01,0
2017-01-31,919.99,970.0,917.5,963.99,9507.10183224,920.1242857142857,907.9516666666666,919.99,1
2017-02-01,963.99,986.96,962.0,983.67,6954.39947163,933.0157142857144,906.9893333333333,963.99,2
2017-02-02,983.79,1011.65,973.12,1009.17,8269.68053649,946.4928571428572,906.1203333333334,983.67,3
2017-02-03,1009.15,1022.64,987.01,1016.99,10928.024221310001,960.6314285714286,902.856,1009.17,4
2017-02-04,1015.06,1044.23,1004.0,1033.18,5752.28733969,977.0,903.8040000000001,1016.99,5
2017-02-05,1033.72,1034.6,1004.7,1011.07,4348.17045024,991.1514285714286,907.7099999999999,1033.18,6
2017-02-06,1010.03,1031.94,1005.1,1023.99,5080.84835472,1006.0085714285714,911.6363333333334,1011.07,0
2017-02-07,1024.0,1056.25,1021.3,1052.48,5372.1326253,1018.6499999999999,916.394,1023.99,1
2017-02-08,1052.48,1070.0,1025.0,1050.4,9633.26465194,1028.182857142857,921.533,1052.48,2
2017-02-09,1051.73,1074.69,913.73,986.0,25150.07016403,1024.8728571428571,924.2313333333333,1050.4,3
2017-02-10,985.71,1010.68,950.0,996.08,10731.29006905,1021.8857142857142,931.48,986.0,4
2017-02-11,995.49,1020.0,987.62,1012.4,4470.41861675,1018.9171428571428,938.3109999999999,996.08,5
2017-02-12,1011.01,1011.97,991.98,1000.73,2683.99735828,1017.4399999999999,944.14,1012.4,6
2017-02-13,1000.73,1007.89,975.1,1000.79,4547.26036851,1014.1257142857143,950.224,1000.73,0
2017-02-14,1000.74,1019.0,987.97,1008.88,6761.10806309,1007.8971428571429,956.4580000000001,1000.79,1
2017-02-15,1008.88,1013.8,1000.97,1011.53,3095.66000003,1002.3442857142857,962.4486666666667,1008.88,2
2017-02-16,1011.53,1043.21,1010.75,1032.7,5996.10412989,1009.0157142857144,966.6723333333334,1011.53,3
2017-02-17,1032.91,1064.99,1031.98,1055.46,6085.02260605,1017.4985714285714,972.2643333333333,1032.7,4
2017-02-18,1055.75,1068.99,1046.14,1056.4,4474.94930623,1023.7842857142858,977.444,1055.46,5
2017-02-19,1056.4,1061.9,1039.07,1051.8,2270.8499116,1031.0800000000002,982.644,1056.4,6
2017-02-20,1051.8,1089.99,1044.39,1084.0,3664.37368596,1042.967142857143,988.0446666666667,1051.8,0
2017-02-21,1084.0,1126.86,1077.0,1124.62,8395.47371599,1059.5014285714285,994.74,1084.0,1
2017-02-22,1124.62,1143.0,1098.16,1130.01,11673.08926566,1076.4271428571428,1001.9563333333334,1124.62,2
2017-02-23,1130.02,1193.92,1120.73,1188.11,11753.23856018,1098.6285714285714,1012.0443333333333,1130.01,3
2017-02-24,1183.53,1220.0,1091.1,1180.14,19598.23102576,1116.44,1021.6013333333334,1188.11,4
2017-02-25,1180.05,1184.73,1127.0,1152.2,6238.43763039,1130.1257142857144,1029.5136666666667,1180.14,5
2017-02-26,1152.11,1184.97,1133.0,1179.05,3536.48621434,1148.3042857142857,1038.2146666666667,1152.2,6
2017-02-27,1180.46,1197.99,1169.0,1194.64,4640.77358977,1164.11,1047.416,1179.05,0
